time_from_treatment_start,population,population_label,n_responder,n_non_responder,median_responder,median_non_responder,median_difference,mean_responder,mean_non_responder,u_statistic,p_mannwhitney,rank_biserial,t_statistic,p_welch_t,p_adj_bh,significant_fdr_0.05,higher_in
0,b_cell,B cell,331,325,9.785,9.7582,0.026799999999999713,10.086769486404833,9.774166153846153,55244.5,0.5484035572786878,0.027088078085056866,1.2505974058272773,0.21153491156950405,0.8851654237883754,False,responders
0,cd8_t_cell,CD8+ T cell,331,325,24.3957,24.601,-0.2052999999999976,24.81774501510574,25.000819384615387,52202.5,0.5138228421597713,-0.029467813153613798,-0.49689180806604294,0.6194362288508678,0.8851654237883754,False,non-responders
0,cd4_t_cell,CD4+ T cell,331,325,29.6338,29.5305,0.10330000000000084,29.975027190332327,29.830393230769236,54414.5,0.7962905866672978,0.011656983499883866,0.37404800839519675,0.7084923385404747,0.8851654237883754,False,responders
0,nk_cell,NK cell,331,325,14.9973,14.8905,0.10679999999999978,15.219500604229607,15.17131353846154,53436.5,0.8851654237883753,-0.0065256797583082005,0.15723496158130976,0.8751098039106076,0.8851654237883754,False,responders
0,monocyte,Monocyte,331,325,19.6056,20.286,-0.6804000000000023,19.900960725075528,20.22330953846154,50754.5,0.21146455611914672,-0.056388566116662764,-0.959070220075667,0.33789047564165875,0.8851654237883754,False,non-responders
7,cd4_t_cell,CD4+ T cell,331,325,30.4457,29.5476,0.8980999999999995,30.74690302114804,29.717765230769235,59063.5,0.029721546848074758,0.09808970485707635,2.5846073521460373,0.009964705117495054,0.1486077342403738,False,responders
7,b_cell,B cell,331,325,9.2334,9.9657,-0.7323000000000004,9.745962839879155,10.10805876923077,50240.5,0.1439212738576043,-0.06594468975133627,-1.442027652560133,0.14977337300467986,0.23986878976267387,False,non-responders
7,nk_cell,NK cell,331,325,14.4198,14.7959,-0.3760999999999992,14.657068580060423,15.08775076923077,50185.0,0.13775265100816855,-0.06697652800371834,-1.3978677808385782,0.16262726786047454,0.23986878976267387,False,non-responders
7,monocyte,Monocyte,331,325,19.5969,20.0321,-0.43519999999999825,20.051026586102722,20.184519692307692,52089.0,0.48413674295382403,-0.0315779688589356,-0.4056148990980008,0.6851592476769908,0.6051709286922801,False,non-responders
7,cd8_t_cell,CD8+ T cell,331,325,24.6964,24.7727,-0.07629999999999981,24.799046223564954,24.901905230769234,52644.0,0.637658094967041,-0.021259586335115044,-0.2899486149620367,0.7719488197037369,0.637658094967041,False,non-responders
14,b_cell,B cell,331,325,9.1073,9.837,-0.7296999999999993,9.559927794561935,10.106730153846154,47848.0,0.014397962222690845,-0.11042528468510338,-2.1619826798675885,0.030981840762548993,0.07198981111345423,False,non-responders
14,cd4_t_cell,CD4+ T cell,331,325,30.7909,30.0699,0.7210000000000001,30.89149697885196,30.15862246153846,58102.5,0.07543681816877615,0.0802231001626772,1.8818485918010934,0.06030042877507143,0.18859204542194036,False,responders
14,nk_cell,NK cell,331,325,14.3528,14.6534,-0.3005999999999993,14.64626163141994,14.960438153846155,51347.5,0.3147998725473644,-0.04536369974436438,-1.0099211468719556,0.3129065668687329,0.5246664542456073,False,non-responders
14,cd8_t_cell,CD8+ T cell,331,325,25.0775,24.5581,0.519400000000001,25.02900966767372,24.929052615384617,54590.0,0.7410479625267354,0.014919823379037966,0.2689602961998329,0.7880450659117523,0.7410479625267354,False,responders
14,monocyte,Monocyte,331,325,19.6233,19.7496,-0.12630000000000052,19.873306344410874,19.845154153846156,52675.5,0.6469552720520044,-0.02067394840808734,0.08029828750780503,0.9360248663614735,0.7410479625267354,False,non-responders
