population,population_label,n_responder,n_non_responder,median_responder,median_non_responder,median_difference,mean_responder,mean_non_responder,u_statistic,p_mannwhitney,rank_biserial,t_statistic,p_welch_t,p_adj_bh,significant_fdr_0.05,higher_in
cd4_t_cell,CD4+ T cell,331,325,30.2098,29.8225,0.38729999999999976,30.537809063444104,29.902260307692305,59854.5,0.012429331170889325,0.11279572391354864,2.8496407137473025,0.004514854987811056,0.06214665585444663,False,responders
nk_cell,NK cell,331,325,14.7397,14.9598,-0.2201000000000004,14.840943605236657,15.073167487179486,50081.0,0.12674471572310064,-0.0689100627469208,-1.391932505775115,0.1644221597130974,0.3168617893077516,False,non-responders
b_cell,B cell,331,325,9.6714,9.844533333333333,-0.17313333333333247,9.797553373615308,9.99631835897436,51499.0,0.34579575361837356,-0.042547060190564756,-1.397547881896313,0.16272287792375056,0.43224469202296695,False,non-responders
monocyte,Monocyte,331,325,19.7945,20.276833333333332,-0.48233333333333306,19.94176455186304,20.084327794871793,51079.0,0.26449173372700063,-0.05035556588426682,-0.7519168591224007,0.45237985819629556,0.43224469202296695,False,non-responders
cd8_t_cell,CD8+ T cell,331,325,24.896933333333333,25.009733333333333,-0.11280000000000001,24.88193363544814,24.943925743589745,52591.0,0.6221436939857599,-0.02224494538693933,-0.29698494632829386,0.7665741003064274,0.6221436939857599,False,non-responders
